食材番号,食材名,エネルギー,タンパク質,脂質,炭水化物,食塩相当量
06184,（トマト類）　加工品　ホール　食塩無添加,21.0,0.9,0.2,4.4,0
06185,（トマト類）　加工品　トマトジュース　食塩添加,15.0,0.7,0.1,4.0,0.3
06340,（トマト類）　加工品　トマトジュース　食塩無添加,18.0,0.7,0.1,4.0,0
06186,（トマト類）　加工品　ミックスジュース　食塩添加,18.0,0.6,0,4.3,0.2
06341,（トマト類）　加工品　ミックスジュース　食塩無添加,18.0,0.6,0,4.3,0
06187,トレビス　葉　生,17.0,1.1,0.2,3.9,0
06188,とんぶり　ゆで,89.0,6.1,3.5,12.9,0
06189,ながさきはくさい　葉　生,12.0,1.3,0.1,2.6,0.1
06190,ながさきはくさい　葉　ゆで,18.0,2.2,0.1,3.4,0
06191,（なす類）　なす　果実　生,18.0,1.1,0.1,5.1,0
06192,（なす類）　なす　果実　ゆで,17.0,1.0,0.1,4.5,0
06342,（なす類）　なす　果実　油いため,73.0,1.5,5.8,6.3,0
06343,（なす類）　なす　果実　天ぷら,165.0,1.6,14.0,12.0,0.1
06193,（なす類）　べいなす　果実　生,20.0,1.1,0.1,5.3,0
06194,（なす類）　べいなす　果実　素揚げ,177.0,1.0,17.0,6.7,0
06195,（なす類）　漬物　塩漬,22.0,1.4,0.1,5.2,2.2
06196,（なす類）　漬物　ぬかみそ漬,27.0,1.7,0.1,6.1,2.5
06197,（なす類）　漬物　こうじ漬,87.0,5.5,0.1,18.2,6.6
06198,（なす類）　漬物　からし漬,127.0,2.6,0.2,30.7,4.8
06199,（なす類）　漬物　しば漬,27.0,1.4,0.2,7.0,4.1
06200,なずな　葉　生,35.0,4.3,0.1,7.0,0
06201,（なばな類）　和種なばな　花らい・茎　生,34.0,4.4,0.2,5.8,0
06202,（なばな類）　和種なばな　花らい・茎　ゆで,28.0,4.7,0.1,4.3,0
06203,（なばな類）　洋種なばな　茎葉　生,36.0,4.1,0.4,6.0,0
06204,（なばな類）　洋種なばな　茎葉　ゆで,30.0,3.6,0.4,5.3,0
06205,にがうり　果実　生,15.0,1.0,0.1,3.9,0
06206,にがうり　果実　油いため,47.0,1.2,3.3,4.6,0
06207,（にら類）　にら　葉　生,18.0,1.7,0.3,4.0,0
06208,（にら類）　にら　葉　ゆで,27.0,2.6,0.5,5.7,0
06344,（にら類）　にら　葉　油いため,69.0,1.9,5.7,4.9,0
06209,（にら類）　花にら　花茎・花らい　生,27.0,1.9,0.2,5.9,0
06210,（にら類）　黄にら　葉　生,18.0,2.1,0.1,3.3,0
06211,（にんじん類）　葉にんじん　葉　生,16.0,1.1,0.2,3.7,0.1
06212,（にんじん類）　にんじん　根　皮つき　生,35.0,0.7,0.2,9.3,0.1
06213,（にんじん類）　にんじん　根　皮つき　ゆで,29.0,0.6,0.2,8.4,0.1
06214,（にんじん類）　にんじん　根　皮なし　生,30.0,0.8,0.1,8.7,0.1
06215,（にんじん類）　にんじん　根　皮なし　ゆで,28.0,0.7,0.1,8.5,0.1
06345,（にんじん類）　にんじん　根　皮なし　油いため,103.0,1.1,6.4,12.4,0.1
06346,（にんじん類）　にんじん　根　皮なし　素揚げ,87.0,1.0,3.5,13.9,0.1
06347,（にんじん類）　にんじん　根　皮　生,26.0,0.7,0.2,7.3,0
06216,（にんじん類）　にんじん　根　冷凍,30.0,0.8,0.2,8.2,0.1
06380,（にんじん類）　にんじん　根　冷凍　ゆで,24.0,0.7,0.2,7.0,0.1
06381,（にんじん類）　にんじん　根　冷凍　油いため,65.0,0.9,4.0,9.3,0.2
06348,（にんじん類）　にんじん　グラッセ,53.0,0.7,1.4,12.7,1.0
06217,（にんじん類）　にんじん　ジュース　缶詰,29.0,0.6,0.1,6.7,0
06218,（にんじん類）　きんとき　根　皮つき　生,39.0,1.8,0.2,9.6,0
06219,（にんじん類）　きんとき　根　皮つき　ゆで,37.0,1.9,0.2,9.2,0
06220,（にんじん類）　きんとき　根　皮なし　生,40.0,1.8,0.3,9.7,0
06221,（にんじん類）　きんとき　根　皮なし　ゆで,40.0,1.9,0.4,9.6,0
06222,（にんじん類）　ミニキャロット　根　生,26.0,0.7,0.2,7.5,0
06223,（にんにく類）　にんにく　りん茎　生,129.0,6.4,0.9,27.5,0
06349,（にんにく類）　にんにく　りん茎　油いため,191.0,8.2,5.9,30.6,0
06224,（にんにく類）　茎にんにく　花茎　生,44.0,1.9,0.3,10.6,0
06225,（にんにく類）　茎にんにく　花茎　ゆで,43.0,1.7,0.2,10.7,0
06226,（ねぎ類）　根深ねぎ　葉　軟白　生,35.0,1.4,0.1,8.3,0
06350,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,28.0,1.3,0.1,6.8,0
06351,（ねぎ類）　根深ねぎ　葉　軟白　油いため,77.0,1.6,4.4,9.5,0
06227,（ねぎ類）　葉ねぎ　葉　生,29.0,1.9,0.3,6.5,0
06352,（ねぎ類）　葉ねぎ　葉　油いため,77.0,2.1,5.2,7.9,0
06228,（ねぎ類）　こねぎ　葉　生,26.0,2.0,0.3,5.4,0
06229,のざわな　葉　生,14.0,0.9,0.1,3.5,0.1
06230,のざわな　漬物　塩漬,17.0,1.2,0.1,4.1,1.5
06231,のざわな　漬物　調味漬,22.0,1.7,0,5.4,2.4
06232,のびる　りん茎葉　生,63.0,3.2,0.2,15.5,0
06233,はくさい　結球葉　生,13.0,0.8,0.1,3.2,0
06234,はくさい　結球葉　ゆで,13.0,0.9,0.1,2.9,0
06235,はくさい　漬物　塩漬,17.0,1.5,0.1,3.3,2.1
06236,はくさい　漬物　キムチ,27.0,2.3,0.1,5.4,2.9
06237,パクチョイ　葉　生,15.0,1.6,0.2,2.7,0
06238,バジル　葉　生,21.0,2.0,0.6,4.0,0
06239,パセリ　葉　生,34.0,4.0,0.7,7.8,0
06240,はつかだいこん　根　生,13.0,0.8,0.1,3.1,0
06392,はなっこりー　生,34.0,3.6,0.5,5.4,0
06241,はやとうり　果実　白色種　生,20.0,0.6,0.1,4.9,0
06242,はやとうり　果実　白色種　塩漬,17.0,0.6,0,4.4,3.6
06353,はやとうり　果実　緑色種　生,21.0,0.6,0.1,4.9,0
06243,ビーツ　根　生,38.0,1.6,0.1,9.3,0.1
06244,ビーツ　根　ゆで,42.0,1.5,0.1,10.2,0.1
06245,（ピーマン類）　青ピーマン　果実　生,20.0,0.9,0.2,5.1,0
06246,（ピーマン類）　青ピーマン　果実　油いため,54.0,0.9,4.3,5.4,0
06247,（ピーマン類）　赤ピーマン　果実　生,28.0,1.0,0.2,7.2,0
06248,（ピーマン類）　赤ピーマン　果実　油いため,69.0,1.0,4.3,7.6,0
06393,（ピーマン類）　オレンジピーマン　果実　生,19.0,0.9,0.3,4.2,0
06394,（ピーマン類）　オレンジピーマン　果実　油いため,81.0,1.1,5.1,7.6,0
06249,（ピーマン類）　黄ピーマン　果実　生,28.0,0.8,0.2,6.6,0
06250,（ピーマン類）　黄ピーマン　果実　油いため,61.0,0.8,4.3,6.9,0
06251,（ピーマン類）　トマピー　果実　生,33.0,1.0,0.2,7.5,0
06252,ひのな　根・茎葉　生,17.0,1.0,0,4.7,0
06253,ひのな　根・茎葉　甘酢漬,70.0,1.4,0.5,17.3,2.8
06254,ひろしまな　葉　生,19.0,1.5,0.2,4.2,0.1
06255,ひろしまな　塩漬,15.0,1.2,0.2,3.3,2.1
06256,（ふき類）　ふき　葉柄　生,11.0,0.3,0,3.0,0.1
06257,（ふき類）　ふき　葉柄　ゆで,7.0,0.3,0,1.9,0.1
06258,（ふき類）　ふきのとう　花序　生,38.0,2.5,0.1,10.0,0
06259,（ふき類）　ふきのとう　花序　ゆで,31.0,2.5,0.1,7.0,0
06260,ふじまめ　若ざや　生,32.0,2.5,0.1,7.4,0
06261,ふだんそう　葉　生,17.0,2.0,0.1,3.7,0.2
06262,ふだんそう　葉　ゆで,26.0,2.8,0.1,5.4,0.2
06263,ブロッコリー　花序　生,37.0,5.4,0.6,6.6,0
06264,ブロッコリー　花序　ゆで,30.0,3.9,0.4,5.2,0
06395,ブロッコリー　花序　電子レンジ調理,56.0,5.7,0.7,7.0,0
06396,ブロッコリー　花序　焼き,83.0,9.9,1.2,8.4,0
06397,ブロッコリー　花序　油いため,109.0,6.9,6.3,6.1,0
06354,ブロッコリー　芽ばえ　生,18.0,1.9,0.6,2.6,0
06265,へちま　果実　生,17.0,0.8,0.1,3.8,0
06266,へちま　果実　ゆで,19.0,1.6,0.1,3.7,0
06267,ほうれんそう　葉　通年平均　生,18.0,2.2,0.4,3.1,0
06268,ほうれんそう　葉　通年平均　ゆで,23.0,2.6,0.5,4.0,0
06359,ほうれんそう　葉　通年平均　油いため,91.0,3.8,8.1,4.4,0
06355,ほうれんそう　葉　夏採り　生,18.0,2.2,0.4,3.1,0
06357,ほうれんそう　葉　夏採り　ゆで,23.0,2.6,0.5,4.0,0
06356,ほうれんそう　葉　冬採り　生,18.0,2.2,0.4,3.1,0
06358,ほうれんそう　葉　冬採り　ゆで,23.0,2.6,0.5,4.0,0
06269,ほうれんそう　葉　冷凍,22.0,2.9,0.3,3.4,0.3
06372,ほうれんそう　葉　冷凍　ゆで,26.0,3.7,0.5,3.8,0.1
06373,ほうれんそう　葉　冷凍　油いため,67.0,4.0,4.5,5.4,0.4
06270,ホースラディシュ　根茎　生,69.0,3.1,0.3,17.7,0
06271,まこも　茎　生,19.0,1.3,0.2,4.4,0
06272,みずかけな　葉　生,25.0,2.9,0.1,4.7,0
06273,みずかけな　塩漬,34.0,4.9,0,5.7,2.5
06072,みずな　葉　生,23.0,2.2,0.1,4.8,0.1
06073,みずな　葉　ゆで,21.0,2.0,0.1,4.7,0.1
06074,みずな　塩漬,26.0,2.0,0.1,5.9,2.3
06274,（みつば類）　切りみつば　葉　生,16.0,1.0,0.1,4.0,0
06275,（みつば類）　切りみつば　葉　ゆで,12.0,0.9,0.1,3.3,0
06276,（みつば類）　根みつば　葉　生,19.0,1.9,0.1,4.1,0
06277,（みつば類）　根みつば　葉　ゆで,19.0,2.3,0.1,3.9,0
06278,（みつば類）　糸みつば　葉　生,12.0,0.9,0.1,2.9,0
06279,（みつば類）　糸みつば　葉　ゆで,14.0,1.1,0,4.0,0
06360,みぶな　葉　生,14.0,1.1,0.3,2.9,0.1
06280,（みょうが類）　みょうが　花穂　生,11.0,0.9,0.1,2.6,0
06281,（みょうが類）　みょうがたけ　茎葉　生,6.0,0.4,0.1,1.5,0
06282,むかご　肉芽　生,87.0,2.9,0.2,20.6,0
06283,めキャベツ　結球葉　生,52.0,5.7,0.1,9.9,0
06284,めキャベツ　結球葉　ゆで,51.0,5.3,0.1,9.8,0
06285,めたで　芽ばえ　生,39.0,3.0,0.5,8.8,0
06286,（もやし類）　アルファルファもやし　生,11.0,1.6,0.1,2.0,0
06287,（もやし類）　だいずもやし　生,29.0,3.7,1.5,2.3,0
06288,（もやし類）　だいずもやし　ゆで,27.0,2.9,1.6,2.2,0
06289,（もやし類）　ブラックマッペもやし　生,17.0,2.2,0,2.8,0
06290,（もやし類）　ブラックマッペもやし　ゆで,13.0,1.3,0,2.7,0
06398,（もやし類）　ブラックマッペもやし　油いため,41.0,2.3,0.9,5.8,0
06291,（もやし類）　りょくとうもやし　生,15.0,1.7,0.1,2.6,0
06292,（もやし類）　りょくとうもやし　ゆで,12.0,1.6,0,2.3,0
06293,モロヘイヤ　茎葉　生,36.0,4.8,0.5,6.3,0
06294,モロヘイヤ　茎葉　ゆで,24.0,3.0,0.4,4.0,0
06401,やぶまめ　生,219.0,15.5,6.5,29.5,0
06295,やまごぼう　みそ漬,66.0,4.1,0.1,15.6,7.1
06296,ゆりね　りん茎　生,119.0,3.8,0.1,28.3,0
06297,ゆりね　りん茎　ゆで,117.0,3.4,0.1,28.7,0
06298,ようさい　茎葉　生,17.0,2.2,0.1,3.1,0.1
06299,ようさい　茎葉　ゆで,18.0,2.2,0.1,4.1,0
06300,よめな　葉　生,40.0,3.4,0.2,10.0,0
06301,よもぎ　葉　生,43.0,5.2,0.3,8.7,0
06302,よもぎ　葉　ゆで,37.0,4.8,0.1,8.2,0
06303,らっかせい　未熟豆　生,306.0,12.0,24.2,12.4,0
06304,らっかせい　未熟豆　ゆで,298.0,11.9,23.5,12.3,0
06305,（らっきょう類）　らっきょう　りん茎　生,83.0,1.4,0.2,29.3,0
06306,（らっきょう類）　らっきょう　甘酢漬,117.0,0.4,0.3,29.4,1.9
06307,（らっきょう類）　エシャレット　りん茎　生,59.0,2.3,0.2,17.8,0
06308,リーキ　りん茎葉　生,30.0,1.6,0.1,6.9,0
06309,リーキ　りん茎葉　ゆで,28.0,1.3,0.1,6.8,0
06319,ルッコラ　葉　生,17.0,1.9,0.4,3.1,0
06310,ルバーブ　葉柄　生,23.0,0.7,0.1,6.0,0
06311,ルバーブ　葉柄　ゆで,14.0,0.5,0.1,4.6,0
06312,（レタス類）　レタス　土耕栽培　結球葉　生,11.0,0.6,0.1,2.8,0
06361,（レタス類）　レタス　水耕栽培　結球葉　生,13.0,0.8,0.2,2.9,0
06313,（レタス類）　サラダな　葉　生,10.0,1.0,0.2,2.7,0
06314,（レタス類）　リーフレタス　葉　生,16.0,1.4,0.1,3.3,0
06315,（レタス類）　サニーレタス　葉　生,15.0,1.2,0.2,3.2,0
06362,（レタス類）　サンチュ　葉　生,14.0,1.2,0.4,2.5,0
06316,（レタス類）　コスレタス　葉　生,16.0,1.2,0.2,3.4,0
06317,れんこん　根茎　生,66.0,1.9,0.1,15.5,0.1
06318,れんこん　根茎　ゆで,66.0,1.3,0.1,16.1,0
06371,れんこん　甘酢れんこん,66.0,0.6,0.2,16.5,1.4
06320,わけぎ　葉　生,30.0,1.6,0,7.4,0
06321,わけぎ　葉　ゆで,29.0,1.9,0,6.9,0
06322,わさび　根茎　生,89.0,5.6,0.2,18.4,0.1
06323,わさび　わさび漬,140.0,7.1,0.5,28.0,2.5
06324,わらび　生わらび　生,19.0,2.4,0.1,4.0,0
06325,わらび　生わらび　ゆで,13.0,1.5,0.1,3.0,0
06326,わらび　干しわらび　乾,216.0,20.0,0.7,61.4,0
06382,（その他）　ミックスベジタブル　冷凍,67.0,3.0,0.7,15.1,0.1
06383,（その他）　ミックスベジタブル　冷凍　ゆで,65.0,3.1,0.8,14.6,0
06384,（その他）　ミックスベジタブル　冷凍　油いため,108.0,3.3,4.9,15.7,0.1
06399,（その他）　野菜ミックスジュース　通常タイプ,21.0,0.8,0.1,4.7,0
06400,（その他）　野菜ミックスジュース　濃縮タイプ,36.0,1.0,0.3,7.8,0.1
07001,あけび　果肉　生,89.0,0.5,0.1,22.0,0
07002,あけび　果皮　生,32.0,0.3,0.3,8.6,0
07181,アサイー　冷凍　無糖,62.0,0.9,5.3,5.0,0
07003,アセロラ　酸味種　生,36.0,0.7,0.1,9.0,0
07159,アセロラ　甘味種　生,36.0,0.7,0.1,9.0,0
07004,アセロラ　果実飲料　10%果汁入り飲料,42.0,0.1,0,10.5,0
07005,アテモヤ　生,81.0,1.8,0.4,19.4,0
07006,アボカド　生,176.0,2.1,17.5,7.9,0
07007,あんず　生,37.0,1.0,0.3,8.5,0
07008,あんず　乾,296.0,9.2,0.4,70.4,0
07009,あんず　缶詰,79.0,0.5,0.4,18.9,0
07010,あんず　ジャム　高糖度,252.0,0.3,0.1,64.9,0
07011,あんず　ジャム　低糖度,202.0,0.4,0.1,50.5,0
07012,いちご　生,31.0,0.9,0.1,8.5,0
07013,いちご　ジャム　高糖度,250.0,0.4,0.1,63.3,0
07014,いちご　ジャム　低糖度,194.0,0.5,0.1,48.4,0
07160,いちご　乾,329.0,0.5,0.2,82.8,0.7
07015,いちじく　生,57.0,0.6,0.1,14.3,0
07016,いちじく　乾,272.0,3.0,1.1,75.3,0.2
07017,いちじく　缶詰,78.0,0.5,0.1,19.4,0
07019,うめ　生,33.0,0.7,0.5,7.9,0
07020,うめ　梅漬　塩漬,27.0,0.7,0.4,6.7,19.3
07021,うめ　梅漬　調味漬,45.0,1.5,0.5,10.5,6.9
07022,うめ　梅干し　塩漬,29.0,0.9,0.7,8.6,18.2
07023,うめ　梅干し　調味漬,90.0,1.5,0.6,21.1,7.6
07024,うめ　梅びしお,196.0,0.7,0.5,48.1,7.9
07025,うめ　果実飲料　20%果汁入り飲料,49.0,0,0,12.3,0.1
07037,オリーブ　塩漬　グリーンオリーブ,148.0,1.0,15.0,4.5,3.6
07038,オリーブ　塩漬　ブラックオリーブ,121.0,0.8,12.3,3.4,1.6
07039,オリーブ　塩漬　スタッフドオリーブ,141.0,0.8,14.3,4.2,5.1
07049,かき　甘がき　生,63.0,0.4,0.2,15.9,0
07050,かき　渋抜きがき　生,59.0,0.5,0.1,16.9,0
07051,かき　干しがき,274.0,1.5,1.7,71.3,0
07053,かりん　生,58.0,0.4,0.1,18.3,0
07018,（かんきつ類）　いよかん　砂じょう　生,50.0,0.9,0.1,11.8,0
07026,（かんきつ類）　うんしゅうみかん　じょうのう　早生　生,49.0,0.5,0.1,11.9,0
07027,（かんきつ類）　うんしゅうみかん　じょうのう　普通　生,49.0,0.7,0.1,12.0,0
07028,（かんきつ類）　うんしゅうみかん　砂じょう　早生　生,47.0,0.5,0.1,11.3,0
07029,（かんきつ類）　うんしゅうみかん　砂じょう　普通　生,49.0,0.7,0.1,11.5,0
07030,（かんきつ類）　うんしゅうみかん　果実飲料　ストレートジュース,45.0,0.5,0.1,10.6,0
07031,（かんきつ類）　うんしゅうみかん　果実飲料　濃縮還元ジュース,42.0,0.5,0.1,9.9,0
07032,（かんきつ類）　うんしゅうみかん　果実飲料　果粒入りジュース,53.0,0.2,0,13.0,0
07033,（かんきつ類）　うんしゅうみかん　果実飲料　50%果汁入り飲料,59.0,0.2,0,14.7,0
07034,（かんきつ類）　うんしゅうみかん　果実飲料　20%果汁入り飲料,50.0,0.1,0,12.4,0
07035,（かんきつ類）　うんしゅうみかん　缶詰　果肉,63.0,0.5,0.1,15.3,0
07036,（かんきつ類）　うんしゅうみかん　缶詰　液汁,63.0,0.3,0.1,15.3,0
07040,（かんきつ類）　オレンジ　ネーブル　砂じょう　生,48.0,0.9,0.1,11.8,0
07041,（かんきつ類）　オレンジ　バレンシア　米国産　砂じょう　生,42.0,1.0,0.1,9.8,0
07042,（かんきつ類）　オレンジ　バレンシア　果実飲料　ストレートジュース,45.0,0.8,0,11.0,0
07043,（かんきつ類）　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,46.0,0.7,0.1,10.7,0
07044,（かんきつ類）　オレンジ　バレンシア　果実飲料　50%果汁入り飲料,46.0,0.4,0.2,10.8,0
07045,（かんきつ類）　オレンジ　バレンシア　果実飲料　30%果汁入り飲料,41.0,0.2,0,10.0,0
07046,（かんきつ類）　オレンジ　バレンシア　マーマレード　高糖度,233.0,0.2,0.1,63.2,0
07047,（かんきつ類）　オレンジ　バレンシア　マーマレード　低糖度,190.0,0.3,0.1,47.7,0
07161,（かんきつ類）　オレンジ　福原オレンジ　砂じょう　生,43.0,1.0,0.1,9.8,0
07048,（かんきつ類）　オロブランコ　砂じょう　生,43.0,0.8,0.1,10.1,0
07052,（かんきつ類）　かぼす　果汁　生,36.0,0.4,0.1,8.5,0
07162,（かんきつ類）　かわちばんかん　砂じょう　生,38.0,0.7,0.2,8.8,0
07163,（かんきつ類）　きよみ　砂じょう　生,45.0,0.8,0.2,10.3,0
07056,（かんきつ類）　きんかん　全果　生,67.0,0.5,0.7,17.5,0
07062,（かんきつ類）　グレープフルーツ　白肉種　砂じょう　生,40.0,0.9,0.1,9.6,0
07164,（かんきつ類）　グレープフルーツ　紅肉種　砂じょう　生,40.0,0.9,0.1,9.6,0
07063,（かんきつ類）　グレープフルーツ　果実飲料　ストレートジュース,44.0,0.6,0.1,10.3,0
07064,（かんきつ類）　グレープフルーツ　果実飲料　濃縮還元ジュース,38.0,0.7,0.1,8.8,0
07065,（かんきつ類）　グレープフルーツ　果実飲料　50%果汁入り飲料,45.0,0.3,0,11.1,0
07066,（かんきつ類）　グレープフルーツ　果実飲料　20%果汁入り飲料,39.0,0.1,0,9.7,0
07067,（かんきつ類）　グレープフルーツ　缶詰,60.0,0.5,0,17.1,0
07074,（かんきつ類）　さんぼうかん　砂じょう　生,47.0,0.7,0.3,10.9,0
07075,（かんきつ類）　シークヮーサー　果汁　生,35.0,0.8,0.1,7.9,0
07076,（かんきつ類）　シークヮーサー　果実飲料　10%果汁入り飲料,48.0,0.1,0,11.8,0
07165,（かんきつ類）　しらぬひ　砂じょう　生,56.0,0.8,0.2,12.9,0
07078,（かんきつ類）　すだち　果皮　生,55.0,1.8,0.3,16.4,0
07079,（かんきつ類）　すだち　果汁　生,29.0,0.5,0.1,6.6,0
07166,（かんきつ類）　せとか　砂じょう　生,50.0,0.8,0.2,11.7,0
07085,（かんきつ類）　セミノール　砂じょう　生,53.0,1.1,0.1,12.4,0
07083,（かんきつ類）　だいだい　果汁　生,35.0,0.3,0.2,8.0,0
07093,（かんきつ類）　なつみかん　砂じょう　生,42.0,0.9,0.1,10.0,0
07094,（かんきつ類）　なつみかん　缶詰,80.0,0.5,0.1,19.4,0
07105,（かんきつ類）　はっさく　砂じょう　生,47.0,0.8,0.1,11.5,0
07167,（かんきつ類）　はるみ　砂じょう　生,52.0,0.9,0.2,12.1,0
07112,（かんきつ類）　ひゅうがなつ　じょうのう及びアルベド　生,46.0,0.6,0.1,11.7,0
07113,（かんきつ類）　ひゅうがなつ　砂じょう　生,35.0,0.6,0.1,8.3,0
07126,（かんきつ類）　ぶんたん　砂じょう　生,41.0,0.7,0.1,9.8,0
07127,（かんきつ類）　ぶんたん　ざぼん漬,338.0,0.2,0.1,85.5,0
07129,（かんきつ類）　ぽんかん　砂じょう　生,42.0,0.9,0.1,9.9,0
07142,（かんきつ類）　ゆず　果皮　生,50.0,1.2,0.5,14.2,0
07143,（かんきつ類）　ゆず　果汁　生,30.0,0.5,0.1,7.0,0
07145,（かんきつ類）　ライム　果汁　生,39.0,0.4,0.1,9.3,0
07155,（かんきつ類）　レモン　全果　生,43.0,0.9,0.7,12.5,0
07156,（かんきつ類）　レモン　果汁　生,24.0,0.4,0.2,8.6,0
07054,キウイフルーツ　緑肉種　生,51.0,1.0,0.2,13.4,0
07168,キウイフルーツ　黄肉種　生,63.0,1.1,0.2,14.9,0
07183,きはだ　実　乾,378.0,7.3,9.8,65.1,0
07055,キワノ　生,41.0,1.5,0.9,8.0,0
07057,グァバ　赤肉種　生,33.0,0.6,0.1,9.9,0
07169,グァバ　白肉種　生,33.0,0.6,0.1,9.9,0
07058,グァバ　果実飲料　20%果汁入り飲料　（ネクター）,49.0,0.1,0.1,12.3,0
07059,グァバ　果実飲料　10%果汁入り飲料,50.0,0.1,0.1,12.3,0
07185,くこ　実　乾,387.0,12.3,4.1,75.3,1.3
07061,ぐみ　生,72.0,1.3,0.2,17.2,0
07157,ココナッツ　ココナッツウォーター,22.0,0.2,0.1,5.0,0
07158,ココナッツ　ココナッツミルク,157.0,1.9,16.0,2.8,0
07170,ココナッツ　ナタデココ,80.0,0,0,20.2,0
07070,さくらんぼ　国産　生,64.0,1.0,0.2,15.2,0
07071,さくらんぼ　米国産　生,64.0,1.2,0.1,17.1,0
07072,さくらんぼ　米国産　缶詰,70.0,0.6,0.1,17.6,0
07073,ざくろ　生,63.0,0.2,0,15.5,0
07077,すいか　赤肉種　生,41.0,0.6,0.1,9.5,0
07171,すいか　黄肉種　生,41.0,0.6,0.1,9.5,0
07182,（すぐり類）　カシス　冷凍,62.0,1.6,1.6,13.4,0
07060,（すぐり類）　グーズベリー　生,51.0,1.0,0.1,13.2,0
07069,スターフルーツ　生,30.0,0.7,0.1,7.5,0
07080,（すもも類）　にほんすもも　生,46.0,0.6,1.0,9.4,0
07081,（すもも類）　プルーン　生,49.0,0.7,0.1,12.6,0
07082,（すもも類）　プルーン　乾,211.0,2.4,0.2,62.3,0
07086,チェリモヤ　生,82.0,1.3,0.3,19.8,0
07111,ドラゴンフルーツ　生,52.0,1.4,0.3,11.8,0
07087,ドリアン　生,140.0,2.3,3.3,27.1,0
07088,（なし類）　日本なし　生,38.0,0.3,0.1,11.3,0
07089,（なし類）　日本なし　缶詰,76.0,0.1,0.1,19.1,0
07090,（なし類）　中国なし　生,49.0,0.2,0.1,12.7,0
07091,（なし類）　西洋なし　生,48.0,0.3,0.1,14.4,0
07092,（なし類）　西洋なし　缶詰,79.0,0.2,0.1,20.7,0
07095,なつめ　乾,294.0,3.9,2.0,71.4,0
07096,なつめやし　乾,281.0,2.2,0.2,71.3,0
07097,パインアップル　生,54.0,0.6,0.1,13.7,0
07177,パインアップル　焼き,74.0,0.9,0.2,20.1,0
07098,パインアップル　果実飲料　ストレートジュース,46.0,0.3,0.1,11.0,0
07099,パインアップル　果実飲料　濃縮還元ジュース,45.0,0.1,0.1,11.1,0
07100,パインアップル　果実飲料　50%果汁入り飲料,50.0,0.3,0.1,12.1,0
07101,パインアップル　果実飲料　10%果汁入り飲料,50.0,0,0,12.4,0
07102,パインアップル　缶詰,76.0,0.4,0.1,20.3,0
07103,パインアップル　砂糖漬,349.0,0.5,0.2,86.8,0.1
07104,ハスカップ　生,55.0,0.7,0.6,12.8,0
07106,パッションフルーツ　果汁　生,67.0,0.8,0.4,16.2,0
07107,バナナ　生,93.0,1.1,0.2,22.5,0
07108,バナナ　乾,314.0,3.8,0.4,78.5,0
07109,パパイア　完熟　生,33.0,0.5,0.2,9.5,0
07110,パパイア　未熟　生,35.0,1.3,0.1,9.4,0
07114,びわ　生,41.0,0.3,0.1,10.6,0
07115,びわ　缶詰,80.0,0.3,0.1,19.8,0
07116,ぶどう　皮なし　生,58.0,0.4,0.1,15.7,0
07178,ぶどう　皮つき　生,69.0,0.6,0.2,16.9,0
07117,ぶどう　干しぶどう,324.0,2.7,0.2,80.3,0
07118,ぶどう　果実飲料　ストレートジュース,54.0,0.3,0.2,14.3,0
07119,ぶどう　果実飲料　濃縮還元ジュース,46.0,0.3,0.3,12.0,0
07120,ぶどう　果実飲料　70%果汁入り飲料,52.0,0.2,0,12.9,0
07121,ぶどう　果実飲料　10%果汁入り飲料,52.0,0,0,13.1,0
07122,ぶどう　缶詰,83.0,0.4,0.1,20.4,0
07123,ぶどう　ジャム,189.0,0.5,0.1,47.5,0
07124,ブルーベリー　生,48.0,0.5,0.1,12.9,0
07125,ブルーベリー　ジャム,174.0,0.7,0.3,43.8,0
07172,ブルーベリー　乾,280.0,2.7,1.9,72.5,0
07128,ホワイトサポテ　生,73.0,1.5,0.1,18.9,0
07130,まくわうり　黄肉種　生,34.0,0.8,0.1,7.8,0
07173,まくわうり　白肉種　生,34.0,0.8,0.1,7.8,0
07131,マルメロ　生,48.0,0.3,0.1,15.1,0
07132,マンゴー　生,68.0,0.6,0.1,16.9,0
07179,マンゴー　ドライマンゴー,339.0,3.1,0.7,84.9,0
07133,マンゴスチン　生,71.0,0.6,0.2,17.5,0
07134,メロン　温室メロン　生,40.0,1.1,0.1,10.3,0
07135,メロン　露地メロン　緑肉種　生,45.0,1.0,0.1,10.4,0
07174,メロン　露地メロン　赤肉種　生,45.0,1.0,0.1,10.4,0
07136,（もも類）　もも　白肉種　生,38.0,0.6,0.1,10.2,0
07184,（もも類）　もも　黄肉種　生,48.0,0.5,0.2,13.4,0
07137,（もも類）　もも　果実飲料　30%果汁入り飲料　（ネクター）,46.0,0.2,0.1,11.6,0
07138,（もも類）　もも　缶詰　白肉種　果肉,82.0,0.5,0.1,20.6,0
07175,（もも類）　もも　缶詰　黄肉種　果肉,83.0,0.5,0.1,20.6,0
07139,（もも類）　もも　缶詰　液汁,81.0,0.3,0.1,19.8,0
07140,（もも類）　ネクタリン　生,39.0,0.7,0.3,10.7,0
07141,やまもも　生,47.0,0.5,0.2,11.3,0
